title,imdbRating,ratingCount,duration,year,nrOfWins,nrOfNominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre
The man in the iron mask,6.4,95874,7920,1998,3,2,39,70,232,2
Monte Cristo,7.7,85719,7860,2002,0,0,31,247,528,3
Spartacus,8,81588,11820,1960,6,9,55,415,256,3
The four scoundrels of the queen,7.1,6591,6480,1974,1,1,25,33,25,3
Agora - The pillars of the sky,7.2,40671,7620,2009,9,12,21,235,163,3
Zulu,7.8,24152,8280,1964,0,0,43,58,224,3
Tora! Tora! Tora!,7.5,20804,8640,1970,1,7,54,3,146,3
Tristan + Isolde,6.9,39614,7500,2006,0,0,22,53,310,2
blackmail,7.1,5938,5100,1929,0,0,14,58,74,2
Tombstone,7.9,75804,7800,1993,0,0,50,294,423,3
Blutmond,7.2,39679,7140,1986,1,1,27,343,422,3
Magic Christian,6.2,2149,5520,1969,0,0,29,14,80,1
Lucky Number Slevin,7.8,215991,6600,2006,4,3,65,279,492,3
The three days of the Condor,7.5,27026,7020,1975,5,3,16,219,138,3
The Illusionist - Nothing is as it seems,7.6,225695,6600,2006,6,8,61,587,624,3
The eternal gardener,7.5,92479,7740,2005,23,45,44,617,557,3
Occupation: Reporter,7.7,11940,7560,1975,4,1,11,62,100,1
Shadow of the past,7,19121,6420,1991,1,4,17,48,103,2
Children of Men,7.9,294420,6540,2006,28,29,47,1636,1154,3
yearningly,7,37733,6840,2004,0,0,31,85,284,3
Open your eyes,7.8,43591,7020,1997,5,11,18,156,210,3
So dark the night,8,143919,6900,2008,63,23,19,2484,469,2
Young and innocent,7.1,5332,4800,1937,0,0,18,13,76,3
Red Dragon,7.2,164519,7440,2002,6,7,41,655,736,2
Codename Sweeny,6.8,485,5340,1977,1,0,4,0,15,3
The forgotten,8.1,10710,5100,1950,12,4,5,17,136,2
The Cameraman,8.3,5912,4140,1928,1,0,5,11,44,3
Top,6.3,10380,8580,1969,3,1,25,49,79,1
Rocco and his brothers,8.3,8889,10620,1960,9,7,18,37,38,3
A prophet,7.9,63032,9300,2009,32,31,33,831,139,2
The outsider gang,7.9,12586,5700,1964,0,0,8,95,54,2
"For example, Balthazar",7.9,8524,5700,1966,4,0,11,47,63,1
cauldron,7.5,54260,6720,1973,5,2,29,402,208,2
The nine queens,7.9,27621,6840,2000,22,8,12,29,120,3
Yihe yuan,7,1615,9480,2006,0,0,3,68,26,2
Midnight in Paris,7.7,221572,5640,2011,18,52,74,3729,460,3
Silver Linings,7.9,354393,7320,2012,62,78,52,6070,620,3
Blue Jasmine,7.4,74652,5880,2013,26,35,22,2322,286,2
Spring for Hitler,7.7,32666,5280,1967,2,5,48,194,230,2
The party fright,7.6,24528,5940,1968,0,0,15,38,150,1
The wonderful world of gravity,7.6,18523,5280,1971,0,0,24,55,77,1
Monty Python Live at the Hollywood Bowl,7.9,9838,4620,1982,0,0,11,0,22,2
Dying for beginners,7.4,74812,5400,2007,2,0,16,455,190,1
Best in Show,7.5,39785,5400,2000,13,10,33,566,332,1
My uncle,7.9,10560,7020,1958,6,2,27,52,54,1
Night round,4.5,83,5700,1984,0,0,0,0,1,3
Good Bye Lenin!,7.8,91044,7260,2003,32,14,37,33,220,3
Harry and Sally,7.6,118446,5760,1989,4,14,52,855,245,3
Amarcord,8,23480,7380,1973,16,8,32,73,96,2
The idlers,8,7941,6000,1953,4,1,17,15,49,2
Fellinis Rome,7.4,7030,7680,1972,4,1,14,28,46,2
The Affairs of Anatol,8.1,999,7020,1921,0,0,4,2,18,2
The women,8.1,8218,7980,1939,1,0,13,60,131,2
Stardust Memories,7.5,12779,5340,1980,0,0,13,76,98,2
The specter of freedom,8,7980,6180,1974,2,0,12,4,309,2
Stranger Than Paradise,7.6,19517,5340,1984,7,2,25,72,90,2
Night on Earth,7.8,30604,7740,1991,1,0,25,21,87,2
... with your mother too!,7.7,75928,6360,2001,39,30,64,185,377,1
Polly of the Circus,7.6,755,4140,1932,0,0,0,0,10,2
Secret of the mother,8.4,3300,8040,1948,1,3,6,11,57,2
Lost Highway,7.7,76443,8040,1997,0,0,36,238,433,3
Audition,7.3,44241,6900,1999,3,2,17,275,390,2
Christine,6.6,38714,6600,1983,0,0,31,217,201,3
Twin Peaks - The Movie,7.2,39735,8100,1992,3,6,16,89,214,2
Shadow of truth,6.6,83684,7800,2000,4,5,202,197,669,3
Evil seed,7.5,7602,7740,1956,1,1,8,90,151,3
Dark Shadows,6.3,147014,6780,2012,2,9,94,3512,460,2
Holy blood,7.7,10273,7380,1989,1,8,13,98,81,1
The Mothman Prophecies - Deadly Visions,6.5,54115,7140,2002,3,0,36,124,441,3
Speedway,7.7,496,4560,1929,0,0,0,0,4,3
Blood and sand,7.4,863,4800,1922,0,0,10,2,15,3
For the love of the game,6.5,22056,8220,1999,0,0,100,33,218,3
Summer and smoke,8,1192,7080,1961,5,5,7,20,22,2
lot girls,8.1,3134,8700,1920,0,0,18,6,43,2
The sheikh,7.4,2103,4800,1921,0,0,3,17,20,3
The color of the money,7,46480,7140,1986,4,6,26,185,109,2
It was,8.1,2775,6720,1926,1,0,10,22,30,2
Duty and love,7.5,726,5100,1928,0,0,0,0,10,2
The splendor of the house Amberson,8,14021,5280,1942,2,0,18,108,95,2
Dream of my life,7.6,4793,6000,1955,3,2,11,22,64,2
Who sows the wind,8.2,16683,7680,1960,3,7,10,71,150,2
The lion in the winter,8.2,19622,8040,1968,14,16,58,218,158,2
Frost/Nixon,7.8,76863,7320,2008,16,48,80,83,234,2
Quiz Show - The scandal,7.5,45526,7980,1994,13,13,25,194,150,2
Julius Caesar,7.4,6174,7200,1953,6,6,30,71,65,2
witch-hunt,6.9,24089,7440,1996,7,11,46,73,113,2
Lies and Truth - Shattered Glass,7.3,25616,5640,2003,12,18,12,298,178,2
Mutiny on the bounty,7.9,13024,7920,1935,2,7,26,78,84,3
The night before the wedding,8.1,42335,6720,1940,3,4,38,119,174,2
City Wolf,7.6,13265,5700,1986,4,12,17,77,84,3
Escape from Alcatraz,7.6,66636,6720,1979,0,0,32,64,130,3
The man with the death claw,7.7,64271,6120,1973,1,0,67,280,231,3
Sonatine,7.6,10791,5640,1993,4,1,7,42,76,3
Blast Killer,8,33042,6660,1989,2,5,22,167,215,3
Mariachi,7,41910,4860,1992,6,4,25,98,125,3
You do not kiss leopards,8.1,37527,5640,1938,1,0,36,123,224,2
Lat sau san taam,8,32570,7680,1992,2,3,20,201,250,3
A History of Violence,7.5,154987,5760,2005,35,34,24,919,1100,3
man on Fire,7.8,205401,8760,2004,1,6,47,530,664,3
Survivalist,8,14508,7560,1938,1,5,16,27,122,2
Seven years in Tibet,7,75229,8160,1997,3,6,57,104,110,3
Lincoln,7.5,146016,9000,2012,63,115,70,74,638,3
Kundun,7.1,18709,8040,1997,5,4,25,83,114,3
Sergeant York,7.8,10521,8040,1941,3,9,16,18,84,3
The diary of Anne Frank,7.5,8064,9120,1959,6,11,28,90,47,3
Andrej Rubljow,8.3,18272,12300,1966,3,0,17,28,97,3
Henry V.,7.4,3834,8220,1944,10,0,39,16,44,3
Che: Part One,7.2,32227,8040,2008,3,9,18,69,70,3
Kidnapped - The Adventures of David Balfour,6.7,700,5820,1960,0,0,2,11,11,3
Bank robbery of the century,6.6,513,5100,1960,0,0,3,7,8,2
Brick,7.5,71942,6600,2005,10,14,49,1042,398,2
Paranoid Park,6.7,22245,5100,2007,5,4,16,133,101,3
Clockers,6.9,14368,7680,1995,1,4,42,103,77,3
Character,7.8,8256,7320,1997,14,5,9,4,65,3
The death list,7,2832,5880,1963,0,0,3,12,45,3
Tonight or Never,8.1,1053,4800,1931,0,0,4,0,8,2
Cape of fear,7.3,102119,7680,1991,6,11,34,488,246,1
Brand Upon the Brain! A Remembrance in 12 Chapters,7.4,2401,5700,2006,0,0,2,0,28,2
The Red Mill,8.3,984,4440,1927,0,0,0,0,14,2
Ever Since Eve,8,994,4800,1937,0,0,0,0,13,2
Thank You for Smoking,7.7,166413,5520,2005,10,18,85,500,312,2
Rushmore,7.8,103560,5580,1998,14,11,19,694,623,2
The Royal Tenenbaums,7.6,159811,6600,2001,11,29,61,714,946,2
The Descendants - Family and Other Affairs,7.4,164099,6900,2011,51,82,93,4376,403,2
The octopus and the whale,7.4,50816,4860,2005,19,27,18,469,212,2
Station Agent,7.8,45086,5340,2003,25,21,35,391,263,2
The Killing of John Lennon,6.3,1190,6840,2006,1,1,3,5,27,2
Centurion,6.4,51500,5820,2010,0,0,13,823,176,3
Unbeugsam,7.2,92625,8220,2008,2,2,47,615,214,3
Duel in the Atlantic,7.7,5547,5880,1957,4,1,16,4,80,3
Khartoum - Uprising at the Nile,7,3814,8040,1966,0,2,12,10,47,3
Last Samurai,7.7,241462,9240,2003,18,39,144,854,908,3
The longest day,7.8,35461,10680,1962,6,6,58,117,181,3
The bridge of Arnhem,7.4,32836,10500,1977,4,4,61,40,191,3
Beverly Hills Vamp,3,406,5280,1989,0,0,0,0,5,2
The Wild Bunch - They did not know any law,8.1,53674,8700,1969,5,3,44,447,278,1
Pale Rider - The nameless rider,7.3,30357,6900,1985,2,1,49,69,126,1
The bill is paid with lead,7.2,3496,7200,1967,0,0,8,17,59,1
The dreaded four,7.4,8102,7020,1966,3,5,12,13,78,3
Blaze of Glory - Blazing Glory,6.3,19593,6240,1990,2,2,12,36,64,1
The mighty,6.8,4878,5760,1967,1,0,12,4,33,1
Big Jake,7.1,5861,6600,1971,0,0,30,21,59,3
Sukiyaki Western Django,6.3,11600,7260,2007,5,4,7,152,69,2
Django - His hatred is deadly,6.5,1180,5280,1968,0,0,0,0,11,2
God forgives ... Django never!,6.3,2097,6540,1967,0,0,6,2,15,1
Guns for Hire: The Making of 'The Magnificent Seven'TV Movie ,6.6,119,3600,2000,0,0,0,0,4,1
Kagemusha - The Shadow of the Warrior,8,19187,10800,1980,20,3,19,64,84,3
Barefoot through hell - Part 1,8.4,2724,9420,1959,5,1,10,0,16,3
Battleship Potemkin,8,32184,4500,1925,0,0,42,163,160,2
Letters from Iwo Jima,8,112624,8460,2006,26,19,66,324,307,3
Killing Fields - Screaming Land,7.9,35986,8460,1984,26,20,19,216,176,3
Der Fall de Lieutnant Morant,7.9,8920,6420,1980,14,5,16,71,85,3
The Tin Drum,7.6,14652,8520,1979,14,5,23,72,73,2
Glory,8,87681,7320,1989,13,12,58,231,332,3
Nanjing! Nanjing!,7.7,6879,7920,2009,11,6,2,32,58,3
The Wind That Shakes the Barley,7.6,30641,7620,2006,5,22,24,160,211,3
Gettysburg,7.7,19124,16260,1993,0,0,35,59,244,3
Daddy-Long-Legs,7.9,997,5100,1919,0,0,4,0,18,2
Bloody Sunday,7.7,16640,6420,2002,19,21,18,188,117,3
Remembering HistoryVideo ,7.4,18,4140,2005,0,0,0,0,1,1
Sinola,6.4,9369,5280,1972,0,0,13,10,59,1
Winchester 73,7.8,10108,5520,1950,0,0,13,8,77,1
Django,7.3,14763,5520,1966,0,0,11,310,83,1
The rushed of the Sierra Madre,7.4,2740,4800,1966,0,0,3,29,26,1
The four sons of Katie Elder,7.2,7797,7320,1965,1,0,38,23,47,1
Two are counting,7.2,8155,7320,1957,2,2,11,34,72,1
Death rode on Tuesdays,7.2,1615,5700,1967,0,0,3,15,19,1
Töte Friend,7.2,2153,8100,1966,0,0,7,16,24,1
Naked violence,7.5,6200,5460,1953,1,0,5,7,78,2
Shoe,6.9,2482,6660,1969,0,0,9,7,32,1
Until the last man,7.7,9867,7500,1948,2,1,28,61,71,1
Vera Cruz,7.1,5465,5640,1954,0,0,37,28,53,2
Face to face,7.4,1377,6420,1967,0,0,2,9,13,2
No mercy for Ulzana,7.1,2992,6180,1972,0,0,14,9,52,2
Todesmelodie,7.7,17791,9420,1971,1,0,7,10,102,2
The glory seven,7.8,51542,7680,1960,2,2,65,442,226,1
"The one, who dances with the wolf",8,143286,10860,1990,34,28,68,817,351,3
Der marshal,7.4,26762,7680,1969,7,5,38,1258,151,3
The black hawk,8,50448,7140,1956,1,2,82,234,408,1
The Golden,7.7,13415,7560,1966,0,0,66,32,84,1
Panic on the Red River,7.8,17040,5520,1948,1,2,34,89,148,3
Like in a mirror,8.1,11125,5340,1961,2,4,10,66,56,1
Nostalghia,8.2,8649,7500,1983,3,1,14,22,45,1
Passion,7.8,4360,6060,1969,8,0,23,13,30,1
Endstation yearning,8.1,64151,7320,1951,13,14,41,556,215,1
Beyond the Rocks,7.9,1818,4800,1922,0,0,5,6,53,1
The cat on the hot tin roof,8.1,27420,6480,1958,3,8,54,7,134,1
Rendezvous after closing time,8.1,15932,5940,1940,1,0,8,64,121,3
Elizabeth Taylor: A TributeTV Movie ,7,6,3600,2011,0,0,0,0,2,1
Terminal,7.3,219483,7680,2004,3,2,63,244,573,2
American Gangster,7.8,264349,9420,2007,9,30,103,1108,440,3
Boyz n the Hood - Guys in the neighborhood,7.8,71979,6720,1991,10,9,35,302,167,2
25 hours,7.7,127674,8100,2002,4,7,31,13,442,2
In the streets of the Bronx,7.8,78459,7260,1993,1,2,31,86,176,2
The Man Who Wasn't There,7.6,71870,6960,2001,25,33,58,113,425,2
Tootsie,7.4,63675,6960,1982,30,23,37,355,162,3
Krámpack,7,4840,5460,2000,12,9,5,8,31,3
The first love,7.9,14623,5400,1996,4,3,26,68,150,3
American Graffiti,7.5,52962,6600,1973,8,6,57,392,222,2
It could not be better,7.8,189536,8340,1997,31,30,99,440,449,3
Solaris,8.1,38487,10020,1972,2,4,20,44,216,2
planet of monkeys,8,110247,6720,1968,5,0,138,151,363,3
Star Trek: The movie,6.3,49916,7920,1979,2,15,48,217,372,3
Alarm in the universe,7.7,27324,5880,1956,1,1,70,397,263,3
Moon,8,186273,5820,2009,21,20,27,2258,424,2
The fantastic journey,6.9,10313,6000,1966,3,5,27,213,75,3
Eerie meeting of the third kind,7.7,109524,8220,1977,15,33,90,786,307,3
Road to Perdition,7.8,165165,7020,2002,23,55,88,778,981,3
Three Burials - The Three Funerals of Melquiades Estrada,7.5,29806,7260,2005,4,8,52,104,193,3
The Proposition - Deadly Offer,7.5,37321,6240,2005,13,25,21,519,228,3
Ride to Ox-Bow,8.1,13354,4500,1943,4,0,12,34,114,3
Bring me the head of Alfredo Garcia,7.6,10643,6720,1974,0,0,15,36,109,3
Quigley the Australian,6.8,12562,7140,1990,2,1,23,20,95,3
Death train to Yuma,7.8,191143,7320,2007,6,19,64,30,545,3
Gunmen - Hunt through the jungle,5.1,2280,5640,1993,0,0,8,2,24,3
Easy Rider,7.4,61351,5700,1969,10,10,58,698,346,1
Tales from the Warner Bros. Lot - Storytelling Stories,6.8,21,6360,2013,0,0,0,0,2,1
Carlito's Way,7.9,132330,8640,1993,1,2,55,114,263,2
Donnie Brasco,7.8,178966,7620,1997,5,9,77,355,219,3
Miller's Crossing,7.9,85503,6900,1990,5,2,15,111,279,3
Training Day,7.7,232355,7320,2001,16,15,78,1691,604,3
Jackie Brown,7.5,185138,9240,1997,7,12,101,832,422,3
The Town - City without mercy,7.6,222924,7500,2010,9,24,48,3726,391,3
Dayereh-e zangi,7.6,988,6600,2008,0,0,0,0,1,2
Down by Law,7.9,28011,6420,1986,4,5,20,61,82,3
King of Comedy,7.8,38288,6540,1982,2,5,28,229,199,2
Adam&#39;s apples,7.9,25367,5640,2005,19,13,4,23,48,3
noblesse oblige,8.2,21614,6360,1949,4,1,22,105,114,2
Mystery Train,7.5,14302,6600,1989,1,8,20,72,52,3
Bad Santa,7.2,88920,5460,2003,1,8,55,805,464,2
No Panic - Good hostages are rare,7,15840,5580,1994,1,1,19,39,110,3
Dangerous girlfriend,6.8,9633,6840,1986,4,1,20,108,62,3
The murderer of Paris,8,8976,6600,1947,5,0,20,24,69,3
Spun - life in the intoxication,6.8,28443,6060,2002,0,0,61,54,197,3
Paper Moon,8.2,18348,6120,1973,7,9,13,239,107,3
Tricks,7.3,89122,6960,2003,0,0,83,139,325,3
Charade,7.1,355,300,1984,2,0,4,0,4,3
Deadly promises,7.7,159004,6000,2007,27,43,39,22,375,3
Dr. Schiwago,8,46656,11820,1965,18,10,83,204,242,3
Mystic River,8,274771,8280,2003,61,68,45,1037,902,3
Damn to all eternity,7.8,27276,7080,1953,14,7,37,257,135,3
Her first husband,7.8,5580,6480,1940,0,0,12,29,77,3
On the way to Cold Mountain,7.2,99891,9240,2003,17,63,48,572,657,3
Tommy Boy - Through thick and thin,7,51739,5820,1995,1,2,43,144,190,1
Eurotrip,6.6,129893,5580,2004,0,0,40,60,306,2
Crocodile Dundee - A crocodile to kiss,6.5,61829,5820,1986,3,7,37,208,82,2
30 minutes or less,6.2,64192,4980,2011,0,0,44,9,110,3
Rat Race - The naked madness,6.4,81149,6720,2001,0,0,34,87,493,2
Harold & Kumar Go to White Castle,7.2,128821,5280,2004,0,0,29,34,312,2
Always trouble with Bernie,6.3,31087,5820,1989,0,0,43,90,87,1
A president just in case,6.4,10950,6060,1996,0,0,20,46,67,2
OSS 117 - He himself is enough,6.9,7098,6060,2009,0,0,21,44,21,3
Mrs. Miniver,7.7,8904,8040,1942,3,6,16,66,73,3
Road Trip,6.5,107561,5580,2000,2,9,78,506,297,2
Year One - It&#39;s hard to start,4.9,64559,5820,2009,0,0,60,1413,197,2
Everything under control - no one looks through,6.9,2785,5280,1968,0,0,11,0,34,2
The four horsemen of the Apocalypse,8,2241,9000,1921,1,0,11,38,37,3
war and peace,6.8,5442,12480,1956,6,8,13,201,42,3
When the cranes pull,8.1,7771,5820,1957,4,0,4,11,55,3
The ballad of the soldier,7.9,5742,5280,1959,5,3,6,5,44,3
A particular day,8,4847,6600,1977,11,2,0,0,28,1
Life and death of Colonel Blimp,8.1,8179,9780,1943,3,0,13,84,76,3
The English patient,7.4,110855,9720,1996,47,39,73,754,439,3
The Caine was her destiny,8,17021,7440,1954,2,3,41,37,142,2
One year in hell,7.2,12904,6900,1982,7,15,28,72,82,3
The white shark 2,5.7,39506,6960,1978,0,0,38,76,235,2
Misery,7.8,103810,6420,1990,3,6,27,399,285,1
Panic Room,6.8,161649,6720,2002,1,7,60,618,827,3
No limit,7.4,289299,6300,2011,1,6,61,1812,343,3
Conjuring - The Visitation,7.6,165388,6720,2013,4,8,34,1583,657,2
Side Effects - Deadly Side Effects,7.1,105194,6360,2013,0,0,26,1169,238,3
The big crash,7.1,68616,6420,2011,8,14,31,1465,192,2
Jo Nesbø&#39;s Headhunters,7.6,57127,6000,2011,5,7,13,10,97,2
Contraband,6.5,82124,6540,2012,0,0,26,1243,146,3
A risky plan,6.6,99177,6120,2012,0,0,60,723,143,3
Red Eye - night flight to death,6.5,81260,5100,2005,2,8,69,201,662,2
Roger astray,7.1,456,480,1993,0,0,5,6,8,3
Rain Man,8,308453,7980,1988,21,19,50,730,287,1
The scent of women,7.9,151964,9420,1992,6,9,44,160,287,1
Time of awakening,7.7,70252,7260,1990,6,7,24,72,157,2
Kramer against Kramer,7.8,74105,6300,1979,38,17,33,311,157,1
Philadelphia,7.7,143684,7500,1993,11,14,58,670,236,1
Nebraska,7.9,38035,6900,2013,26,61,88,1751,169,2
Captain Phillips,8,176065,8040,2013,16,68,62,2861,411,3
The art of winning - Moneyball,7.6,221172,7980,2011,20,42,60,4184,289,3
The Verdict - The truth and nothing but the truth,7.8,20430,7740,1982,4,7,26,143,138,1
Boogie Nights,7.9,148566,9300,1997,28,22,74,57,530,1
Glengarry Glen Ross,7.9,59740,6000,1992,5,5,27,376,352,1
Asphalt-Cowboy,8,61871,6780,1969,26,12,42,392,305,1
The Ides of March - Days of Betrayal,7.2,154409,6060,2011,9,21,97,2067,268,1
Rocky Balboa,7.2,123125,6120,2006,0,0,92,735,940,2
Rocky II,7.1,90550,7140,1979,2,1,58,107,141,2
Bodycheck,6,8209,6600,1986,1,0,29,32,43,3
Crazy for you - love on the wrestler mat,6.4,5326,6420,1985,0,0,6,51,66,3
Annapolis - fight for recognition,5.7,15495,6480,2006,0,0,60,63,139,3
Luck in the game,5.9,16096,7440,2007,0,0,28,115,61,3
Blue Crush,5.6,22233,6240,2002,1,6,111,199,214,3
Jerry Maguire: Game of Life,7.3,146889,8340,1996,26,19,78,911,296,3
The right shoot,5.9,9967,5460,1983,0,0,19,71,48,3
The Fighter,7.9,200800,6960,2010,42,55,100,5677,366,3
Who sows violence,7.6,37945,7080,1971,1,0,34,517,247,1
facing,7.9,245900,9480,2011,14,33,90,5277,597,3
The experiment,7.8,63018,7200,2001,13,15,19,71,167,2
We Need to Talk About Kevin,7.5,65660,6720,2011,20,31,71,2131,258,2
The wave,7.6,56181,6420,2008,5,7,4,65,85,2
American Psycho,7.6,262553,6120,2000,4,7,47,1572,1007,2
The jackal,7.8,24386,8580,1973,1,10,21,30,176,3
"The parfume, the story of a murderer",7.5,149899,8820,2006,12,13,46,183,455,3
Syriana,7,92002,7680,2005,9,21,82,730,619,2
Diary of a scandal,7.5,55692,5520,2006,15,38,57,201,268,2
Atrocious,5.1,2984,4500,2010,0,0,16,70,27,3
Sideways,7.6,125398,7560,2004,108,39,20,1218,811,3
Punch-Drunk Love,7.3,85032,5700,2002,15,18,46,257,853,3
Star Wars: Episode I - The Dark Threat,6.5,379493,8160,1999,12,52,228,1928,3443,3
Star Wars: Episode III - The Revenge of the Sith,7.7,363226,8400,2005,14,29,371,1306,3187,3
Star Wars: Episode II - Attack of the Clones,6.8,323204,8520,2002,11,41,169,778,3412,3
Stargate,7,123007,7260,1994,6,5,67,271,232,3
Man of Steel,7.4,359724,8580,2013,4,16,137,15096,2238,3
Iron Man 3,7.4,349551,7800,2013,12,35,170,11894,1107,3
John Carter: Between two worlds,6.6,166665,7920,2012,1,4,140,3101,677,3
Fantastic Four,5.7,200826,6360,2005,0,0,79,2932,992,3
Spider-Man,7.3,388552,7260,2002,12,44,104,7963,1985,2
Superman Returns,6.2,205769,9240,2006,10,22,210,3008,2348,3
Fantastic Four: Rise of the Silver Surfer,5.6,161460,5520,2007,2,13,50,321,426,3
Tigerland,7.1,29876,6060,2000,3,3,86,96,150,2
Army in the shadow,8.1,11564,8700,1969,3,0,7,60,73,2
Birdy,7.3,14730,7200,1984,3,1,25,33,59,2
Stalingrad,7.5,19666,8040,1993,3,1,23,43,138,2
Europe,7.7,13072,6720,1991,16,4,7,181,57,1
Ivan&#39;s childhood,8.1,12900,5700,1962,2,0,12,15,41,2
The church,6.2,3296,6120,1989,0,0,6,16,64,1
Hope and fame,7.4,8343,6780,1987,18,19,13,40,65,1
Johnny goes to war,7.9,9421,6660,1971,3,2,6,22,76,2
A bunch of great dogs,7.9,7603,7380,1965,3,6,7,29,78,2
Black narcissus,8,12785,6000,1947,3,0,38,188,122,1
Kickin' It Old Skool,4.6,5728,6480,2007,0,0,26,11,34,1
Dreamscape,6.3,8817,5940,1984,1,2,20,42,56,3
Heroes for Sale,7.8,1403,4560,1933,0,0,6,4,29,2
28 days later,7.7,231106,6780,2002,10,25,41,22,1414,3
Resident Evil,6.7,159910,6000,2002,0,0,67,5124,1124,3
The demonic,7.8,26864,4800,1956,1,0,36,19,189,2
existence,6.8,63821,5820,1999,3,7,27,0,505,2
The fog,7.2,170012,7560,2007,2,5,16,836,1005,3
The invisible,7.7,15927,4260,1933,3,0,12,144,141,3
The horror of the Amazon,7,12987,4740,1954,1,0,40,448,156,3
The fire devil,6,18696,6060,1984,0,0,17,114,84,3
Sunshine,7.3,146791,6420,2007,1,10,37,683,742,3
Predator,7.9,223333,6420,1987,3,4,63,886,572,3
Savage Harvest 2: October BloodVideo ,5.3,240,7140,2006,0,0,0,0,1,2
Mirror image in the golden eye,6.9,3491,6480,1967,1,0,15,34,61,3
The lucky knights,7.5,79297,6960,1983,3,4,20,345,139,1
Clerks - The Shopkeepers,7.9,153057,5520,1994,4,6,26,1066,604,1
Cabinet out of control,7.5,35293,6360,2009,16,20,14,772,124,1
Superbad,7.7,327058,6780,2007,7,14,79,2809,540,1
The sense of life,7.6,60984,6420,1983,1,1,52,112,185,2
The city of lost children,7.7,46812,6720,1995,2,10,29,83,230,3
Brazil,8,125037,7920,1985,10,1,42,613,490,3
The Fall,7.9,70480,7020,2006,3,4,28,630,272,3
The fly,7.5,89158,5760,1986,7,9,23,580,254,2
ET - The alien,7.9,218383,6900,1982,47,28,114,1194,468,3
The Limits of Control - The mysterious killer,6.2,12156,6960,2009,0,0,43,163,107,3
The last emperor,7.8,53698,9780,1987,44,13,46,270,119,3
Hunger,7.6,36844,5760,2008,36,22,14,1313,121,3
The Social Network,7.8,334871,7200,2010,102,86,159,11716,650,2
Oscar Wilde,6.9,10648,7080,1997,3,7,20,196,96,3
The First Gospel Matthew,7.9,5956,8220,1964,8,4,25,20,57,3
The story of Adele H.,7.4,4331,5760,1975,11,4,9,22,29,3
Becket,8.1,9251,8880,1964,14,22,16,68,87,3
Marie Antoinette,6.4,63248,7380,2006,8,9,106,433,600,3
Luther,6.7,11118,7380,2003,4,1,3,26,103,3
Danton,7.5,3430,8160,1983,6,5,13,13,26,3
Planet of the Apes: Prevolution,7.6,272843,6300,2011,12,24,40,4951,594,3
Matrix Reloaded,7.2,333743,8280,2003,5,20,207,490,2771,2
Mad Max - Beyond the Thunderdome,6.2,67224,6420,1985,1,5,31,153,145,3
Outlander,6.3,54302,6900,2008,0,0,21,161,150,3
Star Trek: Into Darkness,7.9,270323,7920,2013,6,27,86,7706,1054,3
Matrix Revolutions,6.7,288612,7740,2003,1,18,157,277,2117,3
The Time Machine,5.9,88017,5760,2002,1,0,72,191,605,3
Iron Man 2,7.1,336029,7440,2010,3,24,205,11441,684,3
The desert planet,6.6,80846,8220,1984,1,4,74,537,536,3
The Statue of Liberty,7.2,282,3600,1985,0,3,10,29,5,2
The Unauthorized 'Star Wars' StoryVideo ,4.6,175,3780,1999,0,0,5,0,1,2
The comeback,8,122726,8640,2005,14,26,160,426,508,3
Hurricane,7.5,61075,8760,1999,7,15,49,74,252,3
But,6.7,64588,9420,2001,9,24,30,39,374,3
With heart and hand,7.9,37508,7620,2005,10,5,18,22,244,3
Blind Side - The big opportunity,7.7,154322,7740,2009,7,22,38,3996,373,3
Touchdown - His goal is victory,7.5,33458,6840,1993,2,1,23,118,146,3
Invincible - The dream of his life,7.1,38213,6300,2006,0,0,49,197,137,3
Dogtown Boys,7.1,35636,6420,2005,1,7,98,217,192,3
